URI,Citation URI,Item Label,Project Label,Project URI,Context (1),Context (2),Context (3),Context (4),Context (5),Context (6),Context (7),Context URI,Latitude (WGS-84),Longitude (WGS-84),Early BCE/CE,Late BCE/CE,Item Category,Published Date,Updated Date,Catalogued by,Excavated by,Metal,Metal Description,Culture,References,Date Catalogued,Diameter,Date Excavated,Year Excavated,Sequence #
"http://opencontext.org/subjects/E3C74EFE-FB61-40A7-125D-A34DDD37943A","http://n2t.net/ark:/28722/k28s4r17g","Coin 00-C-24","Petra Great Temple Excavations","http://opencontext.org/projects/A5DDBEA2-B3C8-43F9-8151-33343CBDC857","Jordan","Petra Great Temple","Propylaeum","Special Project  70","Locus None","Seq. 2000-23 Stray Find","","http://opencontext.org/subjects/5F980901-A7CC-4F78-6620-831D04744C69","30.3287","35.4421","200","350","Coin","2009-10-26T00:00:00Z","2017-02-13T03:06:00Z","Martha Sharp Joukowsky","Steven J. Larson; Brian A. Brown","AE","Bronze","Late Roman","Worn.","6/25/2009","21-to-19 mm","","2000",""
"http://opencontext.org/subjects/A5DCF4E6-083B-47CD-B8C2-BBCCC015A91F","http://n2t.net/ark:/28722/k2862hp7g","Coin 01-C-23","Petra Great Temple Excavations","http://opencontext.org/projects/A5DDBEA2-B3C8-43F9-8151-33343CBDC857","Jordan","Petra Great Temple","Upper Temenos","Trench 84","Locus 10","Seq. 84228","","http://opencontext.org/subjects/040C36E4-FD85-4E21-CB83-E348268C4B9A","30.3287","35.4421","200","350","Coin","2009-10-26T00:00:00Z","2017-02-13T03:07:51Z","Martha Sharp Joukowsky","José I. Fusté","AE","Bronze","Late Roman","Waage, Antioch, No. 1407.
RIC VII Rome Mint Aes Constantine #79 (p. 307) or possible #5, p. 296 (see p....","6/25/2009","18-to-17 mm","","2001","84228"
"http://opencontext.org/subjects/543E8999-02F8-416F-5B48-24D2A89EFD8D","http://n2t.net/ark:/28722/k2ww7db74","Coin 00-C-07","Petra Great Temple Excavations","http://opencontext.org/projects/A5DDBEA2-B3C8-43F9-8151-33343CBDC857","Jordan","Petra Great Temple","Lower Temenos","Trench 71","Locus 18","Seq. 71247","","http://opencontext.org/subjects/79AA346C-E42A-4BB8-8790-E01E522E331D","30.3287","35.4421","200","350","Coin","2009-10-26T00:00:00Z","2017-02-13T19:52:15Z","Martha Sharp Joukowsky","Martha Sharp Joukowsky","AE","Bronze","Late Roman","LRBC 2, No. 1877.","6/25/2009","14-16 mm","","2000","71247"
"http://opencontext.org/subjects/3B0067E4-6AD7-4216-352B-7A26FBECDDA1","http://n2t.net/ark:/28722/k2t43qf1k","Coin 00-C-12","Petra Great Temple Excavations","http://opencontext.org/projects/A5DDBEA2-B3C8-43F9-8151-33343CBDC857","Jordan","Petra Great Temple","Upper Temenos","None","Stray find","Locus None","Seq. 2009","http://opencontext.org/subjects/E78A930F-8487-44DE-6F1A-09E49A27A531","30.3287","35.4421","200","350","Coin","2009-10-26T00:00:00Z","2017-02-13T03:07:51Z","Martha Sharp Joukowsky","Karen B. Stern","AE","Bronze","Late Roman","(Deeply corroded with a small hole; both faces are illegible, process of oxydation continuing.)","6/25/2009","13 to 12 mm","","2000","2009"
"http://opencontext.org/subjects/F5E64E1B-CAE2-42A0-0660-5A8078B91830","http://n2t.net/ark:/28722/k2kw5dw5s","Coin 00-C-13","Petra Great Temple Excavations","http://opencontext.org/projects/A5DDBEA2-B3C8-43F9-8151-33343CBDC857","Jordan","Petra Great Temple","Upper Temenos","Trench 76","Locus 5","Seq. 76034","","http://opencontext.org/subjects/7904AA4F-B2D8-49EA-B35C-FA78BC368B7D","30.3287","35.4421","200","350","Coin","2009-10-26T00:00:00Z","2017-02-13T03:07:20Z","Martha Sharp Joukowsky","Patricia W. Farley","AE4","Bronze, less than 17mm","Late Roman","The locus in which this coin was found dated to phase IX, but the coin itself        should be phase X and...","6/25/2009","11 mm","","2000","76034"
"http://opencontext.org/subjects/8F3D7A94-CAFC-437B-1D86-26970C445219","http://n2t.net/ark:/28722/k2st7m84n","Coin 00-C-15","Petra Great Temple Excavations","http://opencontext.org/projects/A5DDBEA2-B3C8-43F9-8151-33343CBDC857","Jordan","Petra Great Temple","Propylaeum","Special Project  70","Locus 8","Seq. SP70029","","http://opencontext.org/subjects/12A05D27-6139-4E05-170E-FE550C16D9ED","30.3287","35.4421","200","350","Coin","2009-10-26T00:00:00Z","2017-02-13T03:06:01Z","Martha Sharp Joukowsky","JET","AE4","Bronze, less than 17mm","Late Roman","Worn and corroded.","6/25/2009","11.5 to 11 mm","","2000",""
"http://opencontext.org/subjects/7B055004-176D-4AA2-57B8-5CEA1EF48D85","http://n2t.net/ark:/28722/k2fx7992b","Coin 00-C-04","Petra Great Temple Excavations","http://opencontext.org/projects/A5DDBEA2-B3C8-43F9-8151-33343CBDC857","Jordan","Petra Great Temple","Upper Temenos","Trench 77","Locus 2","Seq. 77015","","http://opencontext.org/subjects/DAE5CDB3-64A4-4997-34F4-9C6F718E1F0E","30.3287","35.4421","-200","360","Coin","2009-10-26T00:00:00Z","2017-02-11T16:40:27Z","Martha Sharp Joukowsky","Erin E. McCracken; Artemis A. W. Joukowsky","AE","Bronze","Roman Empire, city coin (Arabia)","(Round circular shape, very worn.  These coins were struck between 141 and    145 CE).","6/25/2009","13 mm","","2000","77015"
"http://opencontext.org/subjects/2AC2DA2D-1B7C-4A8C-D9E6-A2E5EDE59916","http://n2t.net/ark:/28722/k20g3p92v","Coin 05-C-76","Petra Great Temple Excavations","http://opencontext.org/projects/A5DDBEA2-B3C8-43F9-8151-33343CBDC857","Jordan","Petra Great Temple","Lower Temenos","Trench 104","Locus 1","Seq. 104015","","http://opencontext.org/subjects/D6F87468-3463-4773-96C2-55CB92515B97","30.3287","35.4421","200","350","Coin","2009-10-26T00:00:00Z","2017-02-09T05:28:36Z","Deirdre Barrett","Tarek M. Khanachet; Martha Sharp Joukowsky","AE","Bronze","Late Roman","RIC 8 Thessalonika #189, p. 419
Found together with 05-C-77, a similar coin, but more well-preserved","6/25/2009","","","2005","104015"
"http://opencontext.org/subjects/8DE6C715-FF46-41D4-1EC5-978251DB8B37","http://n2t.net/ark:/28722/k22n54v8d","Coin 00-C-06","Petra Great Temple Excavations","http://opencontext.org/projects/A5DDBEA2-B3C8-43F9-8151-33343CBDC857","Jordan","Petra Great Temple","Upper Temenos","None","Locus None","Seq. 2000-10","","http://opencontext.org/subjects/36AB2712-A340-4E63-3DC5-4D3F0802A2AA","30.3287","35.4421","200","350","Coin","2009-10-26T00:00:00Z","2017-02-13T03:07:52Z","Martha Sharp Joukowsky","Martha Sharp Joukowsky","AE3","Bronze, 17-21mm","Late Roman","(Very worn and edges eroded).","6/25/2009","14 to 12","","2000",""
"http://opencontext.org/subjects/A8044BC9-6BF3-4E64-504E-F9A4FC16F312","http://n2t.net/ark:/28722/k2959jk94","Coin 94-C-20","Petra Great Temple Excavations","http://opencontext.org/projects/A5DDBEA2-B3C8-43F9-8151-33343CBDC857","Jordan","Petra Great Temple","Temple","Trench 9","Locus 13","Seq. 9068","","http://opencontext.org/subjects/2113F635-D9C4-44B2-7C2D-C67CA1ACE4EE","30.3287","35.4421","200","350","Coin","2009-10-26T00:00:00Z","2017-02-11T20:04:42Z","KM","Leigh-Ann Bedal","AE","Bronze","Late Roman?","Illegible, uncertain:  it could be a Late Roman AE 4 (half-coin), perhaps late 4th - early 5th c. CE.","6/25/2009","1.2 x 0.8 cm   AE 4?","","1994","9068"
